Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Option 20,Option 21,Option 22,Option 23,Option 24,Option 25,Option 26,Option 27,Option 28,Option 29,Option 30,Option 31,Option 32,Option 33,Option 34,Option 35,Option 36,Option 37,Option 38,Option 39,Option 40,Option 41,Option 42,Option 43,Option 44,Option 45,Option 46,Option 47,Option 48,Option 49,Option 50,Option 51,Option 52,Option 53,Option 54,Option 55,Option 56,Option 57,Option 58,Option 59,Option 60,Option 61,Option 62,Option 63,Option 64,Option 65,Option 66,Option 67,Option 68,Option 69,Option 70,Option 71,Option 72,Option 73,Option 74,Option 75,Option 76,Option 77,Option 78,Option 79,Option 80,Option 81,Option 82,Option 83,Option 84,Option 85,Option 86,Option 87,Option 88,Option 89,Option 90,Option 91,Option 92,Option 93,Option 94,Option 95,Option 96,Option 97,Option 98,Option 99,Option 100,Option 101,Option 102,Option 103,Option 104,Option 105,Option 106,Option 107,Option 108,Option 109,Option 110,Option 111,Option 112,Option 113,Option 114,Option 115,Option 116,Option 117,Option 118,Option 119,Option 120,Option 121,Option 122,Option 123,Option 124,Option 125,Option 126,Option 127,Option 128,Option 129,Option 130,Option 131,Option 132,Option 133,Option 134,Option 135,Option 136,Option 137,Option 138,Option 139,Option 140,Option 141,Option 142,Option 143,Option 144,Option 145,Option 146,Option 147
Акушерлик перитонитининг асосий сабаблари:,Бачадон чоки етишмовчилиги,Тухумдон кислотаси оёқчасининг буралиб қолиши,Бачадон чоки етишмовчилиги,Эндоцервицит,"Бачадон ривожланишининг аномалияси (икки шохли, эгарсимон)",хомила ривожланиш аномалияси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кесарча кесиш операциясидан кейинги хорионамниоцит кўринишидаги перитонит учун хос:,А ва Б жавоблар тўғри,Кучли интоксикация,Рецидивланган ичак парези,Операциядан сунг 4-6 суткада симптомларнинг пайдо булиши,А ва Б жавоблар тўғри,брадикардия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кесарча кесиш операциясидан кейинги перитонит клиникасининг ўзига хослиги унинг кайси босқичининг ривожланишига боғлиқ?,Реактив босқичининг узунлиги ва токсикнинг тезлиги,Реактив босқичининг узунлиги ва токсикнинг тезлиги,Реактивнинг узунлиги ва токсикнинг узунлиги,Реактивнинг тезлиги ва токсикнинг узунлиги,Ҳамма жавоблар тўғри,реактивнинг тезлиги ва токсикнинг тезлиги,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Анаэроб ноклостридиал инфекцияда қўлланиладиган препарат:,метронидазол,гентамицин,ампицилин,цефазолин,метронидазол,левомецитин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кесарча кесиш операциясидан кейинги перитонитнинг оператив даволаш хажми:,Бачадон найлари билан экстирпацияси ва қорин бўшлиғини дренажлаш,Бачадон найлари билан экстирпацияси ва қорин бўшлиғини дренажлаш,Бачадоннинг ортиқларсиз экстерпацияси,Бачадон қинусти ампутацияси ва қорин бўшлиғини дренажлаш,Даволаш лапароскопияси,Корин бушлигини дренажлаш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқдан кейинчи яра қаерда пайдо бўлади,Ҳаммаси тўғри,Оралиқ йиртилиши соҳасида,Қин деворида,Вулвада,Ҳаммаси тўғри,бачадон буйнида,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Метроэндометритда бачадон ҳолати,"Катталашган, бачадон қовурғалари бўйлаб оғриқ","Катталашган, бачадон қовурғалари бўйлаб оғриқ",Оғриқсиз,Қисгарган,Нормал ҳолатда,"катталашган зич, оғриқсиз",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқдан кейинги  сепсис симптомига кирмайди,"Қалтираш, тана t","Қалтираш, тана t",Лейкоцитоз,Тил қуруқ караш билан қоиланган,Қон кетиш,тахикардия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорлик вақтидаги қайси касаллик  туғруқдан кейинги септик ҳолатга олиб келмайди,Сурункали гастрит,Тонзиллит,Сурункали гастрит,Цервицит,Туғруқдан олдинги сув кетиши,бачадон ичи инфекцияси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Узоқ давомли туғруқ сувсизлик даври билан, йўлдошдаги нуқсон туфайли бачадонни қўл билан текшириш, 4-чи куни тана температурасининг 38гачча кўтарилиши, қонли-йирингли ажралма, ҳидли. Ташҳис",Метроэндометрит,Перитонит,Параметрит,Метроэндометрит,Сепсис,"тугрукдан кейиги даврининг 4 суткаси, бачадон суб инволюцияси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Қайси контингент ҳомиладорлар туғруқдан кеинги йирингли – септик касалликлар хавор гуруҳига киради,Туғри жавоб йук,Сурункали инфекция учоқли аёллар,Тез ва кўп туғувчилар,Ёш ва қари 1-чи туғувчилар,Оғирлашган акушерлик ва гинекологик анамнезли аёллар,Туғри жавоб йук,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Қорни пастида оғриқ ва оғриқли бачадон, ёмон ҳидли ажралма қайси ташкисча характерли",Метрит,Метрит,Чаноқ абсцесси,Тухумдон апоплекцияси,Перитонит,бачадон субинволюцияси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Метрит давоси ўз ичига олади:,"Ампициллин, гентамицин, метронидазол комбинацияси томир ичига",М/о га ампициллин ёки гентамицин,"Ампициллин, гентамицин, метронидазол комбинацияси томир ичига",Per os антибиотиклар комбинацияси,Кенг спектрли антибиотиклар м/о,метронидазол томир ичига,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқдан кейинги метроэндометрит клиник симптомига кирмайди,Бачадон физиологик  инволюцияси,Кўп йирингли ажралма,"Тана хароратининг кўтарилиши, тахикардия","Қалтираш, умумий аҳволнинг ёмонлашиши ҳолсизлик, қоринда оғриқ",Бачадон физиологик  инволюцияси,хамма жавоблар нотугри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқдан кейинги метроэндометрит келиб чиқишига сабаб бўлмайди,Шиддатли туғруқ,Аёл органимиздаги инфекция ўчоқлари,Узоқ сувсизлик даври,Шиддатли туғруқ,Ҳаммаси тўғри,хамма жавоблар нотўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқдан кейинги эндометрит клиникаси,Ҳаммаси тўғри,Пальпацияда бачадон оғриқли,Интоксикацияси белгилари,Бачадон субинволюцияси,Ҳаммаси тўғри,йирингли ажралмалар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқдан кейинги эндометрит давосига кирмайди,иммуносупрессорларни қўллаш,Антибактериал,Дезинтоксикацион,Бачадон бўшлиғини қириш,Иммуномодуляторларни қўллаш,иммуносупрессорларни қўллаш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқдан кейинги инфекциянинг кечиш хусусияти:,Ҳаммаси тўғри,Кўпэтиологиялик,Клиникаси тез ривожланади,Кўпроқ  шартли-патоген флора чақиради,Ҳаммаси тўғри,тўғри жавоб йўқ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Септик шок асосида нима ётади:,Ҳаммаси тўғри,Грамм манфий бактерияларнинг массив лизиси,Эндотоксинларни қон-томирга таъсири,Қон-томир ўтказувчанлиги ошади,Ҳаммаси тўғри,гиповалемия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Септик шок асорати:,Ҳамма жавоблар тўғри,Ўткир буйрак етишмовчилиги,Ўткир нафас етишмовчилиги,Ўткир жигар етишмовчилиги,Ўткир ДВС синдром,Ҳамма жавоблар тўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агар аёлнинг сути димланиб қолса,Сут безини соғиб ташлаш,Касал кўкраги билан эмизишни тўхтатиш,Кунига 3 маҳол 10 минутдан иссиқ компресс қўйиш,Сут безини соғиб ташлаш,Антибиотикларни қўлламаслик,ҳамма жавоблар тўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Олдин ўтказилган қайси касаллик туғруқдан кейинги септик ҳолатга олиб келмайди,"Болаликда ўтказилган инфекция (кўк йўтал, қизаниқ)",Эндометрит,Ревматизм,Хр. Тонзиллит,"Болаликда ўтказилган инфекция (кўк йўтал, қизаниқ)",хориоамнионит,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Сут безининг қаттиқлашиши ва аниқ чегараланган қизариш – бу,Мастит,Сут бези симптоми,Мастит,Сут бези димланиши,Тўғри жавоб йўқ,хамма жавоблар нотўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Сут бези димланишида, тавсия:","Кўкрак билан эмизишни давом эттириш, 2та кўкрак билан тез-тез эмизиш ва сутни соғиб ташлаш",Болани боқишда альтернатив методдан фойдаланиш,"Кўкрак билан эмизишни давом эттириш, 2та кўкрак билан тез-тез эмизиш ва сутни соғиб ташлаш",Ҳар 4-6 соатда кўкрак билан эмизиш,"Ҳар бир эмизишда 2та кўкрак билан эмизиш, ҳар 4-6 соатда",сутнинг димланиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Лактостаз давоси:,Ҳаммаси тўғри,Дегидратацион терапия,Болани тез-тез кўкрак билан эмизиш,Гормонал терапия,Ҳаммаси тўғри,тўғри жавоб йук,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқдан кейинги мастит учун хос:,Ҳаммаси тўғри,Кеч бошланиши (2чи ҳафтанинг охири-3нинг боши),"Кўкрак безининг гиперемияси ,оғриқли чегараланган инфильтрат.",Биртарафлама яллиғланиш жараени,Ҳаммаси тўғри,Интоксикация белгилари,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Лактацион мастит ривожланиш ҳавф гуруҳига қайси аеллар кирмайди:,Кўп ва тез-тез туғувчилар,Кўп ва тез-тез туғувчилар,Сурункали инфекция ўчоғи бор аеллар,Камқонлик билан ҳомиладор аел,Анамнезида мастит бор аеллар,тўғри жавоб йук,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқдан кейинги маститнинг клиник кечиши учун хос эмас:,Гипогалактия,Ҳароратнинг 38”даражагача кўтарилиши,Гипогалактия,Кўкрак безидаги оғриқ,Қўлтиқости лимфатугунларининг оғриқлиги.,интоксикация,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Туғруқдан кейинги яллиғланиш касалликлари антибактериал терапиясида, антибиотикларнинг синергетик тасирига эришиш учун қайси антибиотиклар қўшилмасини қўллаш мумкин :",Бактериоцид,Бактериостатик,Бактериостатик ва бактериоцид,Бактериоцид,Бактериостатик ва полиен,бактериоцит ва полиен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бактериоцид ва бактериостатик антибиотикларнинг қўшилмаси (лактацион маститнинг антибактериал терапиясида )қуйидаги натижа беради:,Антогонистик,Аддитив,Синергик,Агонистик,Антогонистик,хамма жавоблар тўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқдан кейинги септик инфекциянинг иккинчи даражасига(Сазонов-Бартельс классификацияси бўйича)қуйидагилардан ташқари киради:,Умумий перитонит,Параметрит,Метротромбофлебит,Пельвиоперитонит,Умумий перитонит,тугруқдан кейинги яллигланиш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Туғруқдан кейин стафилокок билан чақирилган септикопиемияси бор касалларда , одатда , қуйидаги метастатик ўчоқлар локализациясидан ташқари , кузатилади:",Майда бўғимлар,Буйрак,Жигар,Ўпка,Йирик бўғимлар,Бош мия,"597тафилокок септикопиемиясида туғруқдан кейин одатда , қуйидаги метастатик ўчоқлар локализацияси кузатилади:",Эндокард,Йирик бўғинлар,Майда бўғимлар,Периост,хамма жавоблар тўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Туғруқдан кейинги инфекциянинг , энг кўп учрайдиган тури:",Эндометрит,Мастит,Тромбофлебит,Эндометрит,Перитонит.,тугрукдан кейинги яллигланиш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғруқда инфекция юқишининг асосий профилактикаси:,Ҳамма жаоблар тўғри,Тоза юза,"Тоза қўллар, тоза қин",Тоза тиғ,Ҳамма жаоблар тўғри,тоза кин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Энг тарқалган дезинфектант:,Бачадон тонуси ошиши,0.5% ли хлор эритмаси,Перикись водород,96% ли спирт,70% ли спирт,фурацилин,601Йулдошнинг олдинда жойлашиши симптомлари( нотўғрисини топинг),Киндан оғриксиз кон келиши,Бачадон тонуси ошиши,Бачадон пастки сегменти( юпкалашиши) сабабли иккиламчи бачадон бўйнидаги ўзгариш.,Ҳомиладорликнинг III- триместр  бошида қон кетиши,Эритробластоз,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акушерлик патологияси туфайли аёлда  шок ривожланди. Куйидаги белгилар бўлиши мумкин:,Юкоридагиларнинг ҳаммаси,"Тез-тез, суст пульс",Паст артериал босим,Тез-тез нафас,Юкоридагиларнинг ҳаммаси,Тери рангининг оқариши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Беморни тезкор бирламчи баҳолаш қуйидагиларга асосланади,"Ҳаётий муҳим органлар кўрсаткичлари( артериал босим, пульс, ҳуши, нафас олиши,  тер ҳарорати)",Анамнез тўлик йиғиш,Тўлик физик кўрик,"Ҳаётий муҳим органлар кўрсаткичлари( артериал босим, пульс, ҳуши, нафас олиши,  тер ҳарорати)",Қўшимча лаборатор маълумот,Бемор шикоятлари,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акушерствада геморрагик шокка қарши курашиш принциплари,Юкоридагиларнинг ҳаммаси,Қон ивиши бўлишига қарши кураш,Инфузион-трансфузион терапия,Буйрак етишмовчилиги профилактикаси,Маҳаллий гемостаз,Юкоридагиларнинг ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акушерлик қон кетишида АЮКни тезрок тўлдириш учун трансфузия бошланади,"Кристаллоидлар (физ.раствор,ринтгер суюклиги)","Декстранлар( полиглюкин, реополиглюкин)","Кристаллоидлар (физ.раствор,ринтгер суюклиги)",Бирхил гуруҳдаги қон,Натив плазма,Янги музлатилган плазма,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадондан ташкари ҳомиладорликда бирламчи ёрдам,"Қон гуруҳи ва мосликни аниклаб, тезкор лапаротомияга тайёрлаш","Қон гуруҳи ва мосликни аниклаб, тезкор лапаротомияга тайёрлаш",Операциядан олдин қон қуйишга ишонч ҳосил келиш керак,Аёл ҳолатини динамикада кузатиш,Юкоридагиларнинг ҳаммаси,Орка гумбаз пункцияси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Кроват олди тести коагулопатиядан далолат беради, агар",7 минут ичида кон лахтаси ҳосил булмайди ёки тезда парчаланиб кетадиган дағал лахта ҳосил бўлади,Билак ички соҳосидаги 1мм кесилса 7 минут ичида қон тўхтайди,Пробиркага 3 мг қонга кальций глюконат қўшилганда 7 минут ичида лахта ҳосил бўлмайди,Қон лахтаси 7 минут ичида ҳосил бўлади,7 минут ичида кон лахтаси ҳосил булмайди ёки тезда парчаланиб кетадиган дағал лахта ҳосил бўлади,Қон лахтаси 4 минут ичида ҳосил бўлади,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Қон қуйиш муолажаси пайтида аёл ҳолатини кузатиш,"Трансфузиядан олдин, трансфузия пайти ва минимум ҳар 1 соатда трансфузиядан кейин 4 соат давомида",Трансфузиядан олдин ва трансфузиядан кейин 4 соат,"Трансфузиядан олдин, трансфузия пайти ва минимум ҳар 1 соатда трансфузиядан кейин 4 соат давомида",Трансфузия пайтида ҳар 15 минутда,Фақат трансфузия пайтида,Шарт эмас,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғрукдан кейин тўсатдан қон кетишига сабаб,Юқоридагиларнинг ҳаммаси,Бачадон гипотонияси,ДВС,Туғруқ йўллари  юмшок тўкимаси жароҳати,Йўлдош қисмларининг қолиб кетиши,Юқоридагиларнинг ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Туғрукдан кейин қон кетишига бачадон бўйни, қин девори ва оралиқ  йиртилиши ҳакида ўйлаш мумкин, агар",Йўлдош бутун ва бачадон кискарган бўлса,Йўлдош бутун ва бачадон кискарган бўлса,Йўлдош бутунлиги бузилган ва бачадон қисқарган,"Йўлдош бутун, бачадон атонияси","Йўлдош бутунлиги бузилган, бачадон атонияси","Йўлдош бутунлиги бузилган, бачадон гипотонияси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Йўлдошни қўл билан ажратиш муолажасида,"Д Бир қўлни бачадон бўшлиғига киритиб, иккинчи қўлни бачадон тубини ушлаб туриш учун она қорнига қўйиш керак",Муолажадан олдин метилэргометрин қилинади,Муолажадан олдин окситоцин қилинади,Муолажадан кейин 24 соат давомида антибиотик қилинади,"Бир қўлни бачадон бўшлиғига киритиб, иккинчи қўл билан киндикдан тракция қилиш","Д Бир қўлни бачадон бўшлиғига киритиб, иккинчи қўлни бачадон тубини ушлаб туриш учун она қорнига қўйиш керак",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғрукдан кейин қон кетишда қорин аортасини босиш нуқтаси,,Киндикдан пастда ва сал ўнгда,Киндикдан пастда ва сал чапда,Киндикдан юкорида ва сал ўнгда,Киндикдан пастда,Киндикдан юкорида ва сал чапда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
